"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.0000, 8627.7700,  188.8833, 4496.9241,    0.0000,   83.6608,    0.0000,   16.3087,  523.4462,  739.3529,   59.0431,  131.5644,   51.5717,  684.0810,   57.6248,  152.6836,   75.4702,  179.6211,    7.7400,43133.9459,    0.0743,    0.0000,   79.1141,    0.0000,    0.0000,-9999.0000, 8816.6533, 4580.5848,43549.4607,  983.8850,  523.4462,  755.7358,   79.1141,    0.0000,
"2011","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.0000,  128.7220,  186.8001, 4453.8178,    0.0000,   83.6407,    0.0000, 6961.3628,  547.7118,  738.5537,   56.9311,  131.8137, 1621.8679,  649.2020,   55.5683,  152.6538,   72.6622,  187.5454,    7.7400,43173.8718,    1.7200,    0.0000,   76.6949,    0.0000,    0.0000,-9999.0000,  315.5222, 4537.4584,43594.4731, 2515.3830,  547.7118, 7701.6365,   76.6949,    0.0000,
"2025","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.0897,  126.7232,  180.6777, 4440.9928,    0.0000,   82.1541,    0.0000, 6886.8652,  644.1035,  735.9109,   51.5947,  123.4694, 1588.8916,  639.5944,   55.0413,  151.3089,   72.4575,  212.5531,    7.7400,43212.4369,    0.0411,    0.0000,   76.3237,    0.0000,    0.0000,-9999.0000,  307.4009, 4523.1469,43656.4965, 2458.5914,  644.1035, 7622.8171,   76.3237,-92387.4389,
"2050","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.2500,  122.4054,  176.5424, 4413.1646,    0.0000,   79.9451,    0.0000, 6893.2984,  668.9862,  731.1189,   42.2522,  117.7937, 1563.9340,  622.5583,   53.9078,  148.0072,   72.1243,  253.2243,    7.7400,43246.2782,    0.0910,    0.0000,   75.5078,    0.0000,    0.0000,-9999.0000,  298.9478, 4493.1097,43727.3740, 2400.4461,  668.9862, 7624.5083,   75.5078,-255352.0269,
"2075","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.4900,  115.5370,  172.2734, 4376.9616,    0.0000,   76.2750,    0.0000, 6899.1479,  712.0507,  721.9648,   33.0299,  101.1783, 1538.2652,  604.0872,   51.7686,  140.0670,   71.4665,  309.8358,    7.7400,43283.1536,    0.3568,    0.0000,   73.7209,    0.0000,    0.0000,-9999.0000,  287.8104, 4453.2365,43812.2629, 2328.3292,  712.0507, 7621.4694,   73.7209,-414819.4754,
"2100","","Time Ser. SLR","Mean SLR RCP85","Protect None",    0.7300,  111.1496,  168.1792, 4338.8692,    0.0000,   72.9528,    0.0000, 6901.3155,  758.5791,  711.0069,   25.2837,   90.6007, 1512.4207,  585.2565,   47.8653,  133.4266,   69.6121,  361.2168,    7.7400,43321.1972,    0.6581,    0.0000,   71.5499,    0.0000,    0.0000,-9999.0000,  279.3289, 4411.8220,43893.1927, 2261.4269,  758.5791, 7612.9804,   71.5499,-569035.5211,
