"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.0000, 8627.7700,  596.9600, 4506.9900,    0.0000,   95.2800,    0.0000,    0.0000,  117.2100,  794.9900,   66.6300,  194.0300,   61.7700,  684.8200,   57.9600,  159.1700,   75.7000,   46.3700,    7.7400,43115.9200,    0.0000,    0.0000,   79.5700,    0.0000,    0.0000,-9999.0000, 9224.7300, 4602.2700,43404.9000, 1065.2100,  117.2100,  794.9900,   79.5700,    0.0000,
"2011","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.0000, 8627.7700,  350.6086, 4485.4687,    0.0000,   95.1635,    0.0000,  219.5308,  163.2949,  764.7312,   63.2595,  185.5429,   58.0686,  649.9410,   55.8039,  159.0750,   72.7844,   93.9218,    7.7400,43157.3105,    1.7600,    0.0000,   77.1047,    0.0000,    0.0000,-9999.0000, 8978.3786, 4580.6322,43490.8317, 1012.6159,  163.2949,  986.0220,   77.1047,    0.0000,
"2025","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.0897, 8627.7700,  208.7413, 4543.5344,    0.0000,   95.0411,    0.0000,   66.5428,  401.7820,  761.3084,   57.8987,  175.5792,   55.3621,  640.3392,   55.4404,  158.5187,   72.6291,  120.4367,    7.7400,43163.3614,    0.0411,    0.0000,   76.8132,    0.0000,    0.0000,-9999.0000, 8836.5113, 4638.5756,43522.6860,  984.6196,  401.7820,  827.8923,   76.8132,-185998.2245,
"2050","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.2500, 8627.7700,  200.9785, 4513.4891,    0.0000,   94.3662,    0.0000,   11.2054,  495.1803,  755.8105,   48.0109,  159.4925,   50.9340,  623.5679,   54.6385,  155.8760,   72.3382,  167.1073,    7.7400,43174.1480,    0.0550,    0.0000,   76.1716,    0.0000,    0.0000,-9999.0000, 8828.7485, 4607.8553,43577.2095,  936.6438,  495.1803,  767.0709,   76.1716,-521405.2400,
"2075","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.4900, 8627.7700,  195.4964, 4470.6866,    0.0000,   89.8360,    0.0000,   13.8495,  543.7542,  746.3717,   37.6697,  139.4552,   46.6253,  605.4240,   53.0728,  148.6324,   71.8344,  227.0963,    7.7400,43188.2383,    0.2349,    0.0000,   75.0922,    0.0000,    0.0000,-9999.0000, 8823.2664, 4560.5226,43643.5413,  882.2471,  543.7542,  760.4561,   75.0922,-852855.5671,
"2100","","Time Ser. SLR","Mean SLR RCP85","Protect Developed Dry",    0.7300, 8627.7700,  188.2475, 4427.7007,    0.0000,   83.2548,    0.0000,   18.9064,  592.5497,  736.1704,   29.1372,  121.0026,   41.9647,  586.8639,   49.9457,  143.1110,   71.1723,  283.3083,    7.7400,43205.8442,    0.2221,    0.0000,   73.9687,    0.0000,    0.0000,-9999.0000, 8816.0175, 4510.9555,43711.1757,  828.9141,  592.5497,  755.2988,   73.9687,-1178579.6600,
