"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0000, 4155.5000,  692.1600, 4925.7800,    0.0000,   96.7800,    0.0000,    0.0000,  168.6100,  948.9100,  108.1600,  325.0500,   99.9300,  923.0700,   92.7200,  159.1700,  116.2700,   96.2200,   10.9200,51992.4600,    0.0000,    0.0000,  102.0100,    0.0000,    0.0000,-9999.0000, 4847.6600, 5022.5600,52375.0400, 1548.9300,  168.6100,  948.9100,  102.0100,    0.0000,
"2011","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0000,  231.0093,  385.6420, 4880.8703,    0.0000,   96.6632,    0.0000, 3150.8959,  217.1400,  909.4618,  102.2956,  311.4958, 1167.3477,  876.3719,   89.0618,  159.0750,  112.0316,  163.7581,   10.9200,52048.3815,    2.6000,    0.0000,   98.6983,    0.0000,    0.0000,-9999.0000,  616.6513, 4977.5336,52494.1661, 2546.5728,  217.1400, 4062.9578,   98.6983,    0.0000,
"2025","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0513,  226.4424,  237.1045, 4940.5975,    0.0000,   96.5952,    0.0000, 2947.1513,  514.8658,  908.1332,   95.3655,  295.7855, 1126.3424,  863.9345,   88.5855,  158.7859,  111.8017,  198.4732,   10.9200,52094.3804,    0.0382,    0.0000,   98.4173,    0.0000,    0.0000,-9999.0000,  463.5469, 5037.1927,52574.3612, 2470.0134,  514.8658, 3855.3227,   98.4173,-165574.7815,
"2050","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.1430,  219.0833,  227.9880, 4922.3653,    0.0000,   96.3070,    0.0000, 2881.8349,  611.7936,  905.7024,   84.6028,  273.8452, 1102.3129,  841.9026,   87.5777,  157.1921,  111.2381,  254.1071,   10.9200,52127.0761,    0.0000,    0.0000,   97.8708,    0.0000,    0.0000,-9999.0000,  447.0714, 5018.6723,52660.5333, 2390.2413,  611.7936, 3787.5374,   97.8708,-464288.9616,
"2075","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.2980,  210.9546,  222.7073, 4887.0229,    0.0000,   94.8665,    0.0000, 2892.0178,  648.2107,  899.7761,   72.6246,  247.9020, 1078.8828,  819.0497,   85.6887,  154.2364,  110.2399,  319.9975,   10.9200,52161.5751,    0.1473,    0.0000,   96.9000,    0.0000,    0.0000,-9999.0000,  433.6619, 4981.8893,52756.9690, 2304.1479,  648.2107, 3791.9412,   96.9000,-760151.0629,
"2100","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.4530,  204.3113,  216.5494, 4852.9527,    0.0000,   90.3382,    0.0000, 2893.7027,  694.7376,  893.0446,   59.4792,  219.1368, 1057.1298,  796.2581,   81.1898,  148.0418,  108.8667,  394.7543,   10.9200,52196.3037,    0.1527,    0.0000,   95.8506,    0.0000,    0.0000,-9999.0000,  420.8608, 4943.2909,52858.8865, 2213.1936,  694.7376, 3786.9000,   95.8506,-1051604.1518,
