"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0000, 8627.7700,  596.9600, 4506.9900,    0.0000,   95.2800,    0.0000,    0.0000,  117.2100,  794.9900,   66.6300,  194.0300,   61.7700,  684.8200,   57.9600,  159.1700,   75.7000,   46.3700,    7.7400,43115.9200,    0.0000,    0.0000,   79.5700,    0.0000,    0.0000,-9999.0000, 9224.7300, 4602.2700,43404.9000, 1065.2100,  117.2100,  794.9900,   79.5700,    0.0000,
"2011","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0000,  139.3011,  350.6086, 4485.4687,    0.0000,   95.1635,    0.0000, 7124.7437,  163.2949,  764.7312,   63.2595,  185.5429, 1641.3246,  649.9410,   55.8039,  159.0750,   72.7844,   93.9218,    7.7400,43157.3105,    1.7600,    0.0000,   77.1047,    0.0000,    0.0000,-9999.0000,  489.9097, 4580.6322,43490.8317, 2595.8720,  163.2949, 7891.2349,   77.1047,    0.0000,
"2025","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.0790,  137.2557,  202.8054, 4550.9366,    0.0000,   95.0572,    0.0000, 6940.7979,  432.7860,  761.8323,   58.4236,  175.9497, 1609.8047,  640.5791,   55.4735,  158.6141,   72.6423,  118.8942,    7.7400,43192.4251,    0.0202,    0.0000,   76.8423,    0.0000,    0.0000,-9999.0000,  340.0610, 4645.9939,43550.3158, 2540.2306,  432.7860, 7702.6504,   76.8423,-97241.4461,
"2050","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.2200,  133.2705,  195.3218, 4523.5810,    0.0000,   94.5264,    0.0000, 6885.4592,  521.8286,  757.2227,   49.0583,  165.2921, 1584.6225,  624.0073,   54.7568,  156.2301,   72.3781,  163.1902,    7.7400,43224.0816,    0.0364,    0.0000,   76.2763,    0.0000,    0.0000,-9999.0000,  328.5923, 4618.1075,43623.6200, 2477.7370,  521.8286, 7642.7183,   76.2763,-274710.5698,
"2075","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.3750,  128.5952,  191.0262, 4494.6725,    0.0000,   92.3144,    0.0000, 6883.7350,  561.8697,  751.8956,   41.0008,  145.3044, 1560.4453,  607.3810,   53.7356,  151.8766,   72.0364,  213.9530,    7.7400,43255.6561,    0.0859,    0.0000,   75.5561,    0.0000,    0.0000,-9999.0000,  319.6215, 4586.9869,43701.2621, 2407.8672,  561.8697, 7635.7166,   75.5561,-448529.8185,
"2100","","Time Ser. SLR","MEAN SLR RCP4.5","Protect None",    0.5300,  124.9175,  187.6902, 4460.2729,    0.0000,   87.1647,    0.0000, 6889.4418,  600.4627,  746.6009,   34.2661,  128.7400, 1536.3029,  590.7925,   52.3086,  146.4004,   71.6403,  261.1970,    7.7400,43288.0726,    0.1176,    0.0000,   74.7513,    0.0000,    0.0000,-9999.0000,  312.6077, 4547.4375,43775.0502, 2342.4101,  600.4627, 7636.1604,   74.7513,-618486.3029,
