"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.0000, 8627.7700,  596.9600, 4506.9900,    0.0000,   95.2800,    0.0000,    0.0000,  117.2100,  794.9900,   66.6300,  194.0300,   61.7700,  684.8200,   57.9600,  159.1700,   75.7000,   46.3700,    7.7400,43115.9200,    0.0000,    0.0000,   79.5700,    0.0000,    0.0000,-9999.0000, 9224.7300, 4602.2700,43404.9000, 1065.2100,  117.2100,  794.9900,   79.5700,    0.0000
"2011","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.0000, 8627.7700,  350.6086, 4485.4687,    0.0000,   95.1635,    0.0000,  219.5308,  163.2949,  764.7312,   63.2595,  185.5429,   58.0686,  649.9410,   55.8039,  159.0750,   72.7844,   93.9218,    7.7400,43157.3105,    1.7600,    0.0000,   77.1047,    0.0000,    0.0000,-9999.0000, 8978.3786, 4580.6322,43490.8317, 1012.6159,  163.2949,  986.0220,   77.1047,    0.0000
"2025","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.0790, 8627.7700,  208.7775, 4544.9645,    0.0000,   95.0572,    0.0000,   66.0692,  400.8140,  761.8323,   58.4236,  175.9497,   55.4552,  640.5791,   55.4735,  158.6141,   72.6423,  118.8942,    7.7400,43162.9609,    0.0202,    0.0000,   76.8423,    0.0000,    0.0000,-9999.0000, 8836.5475, 4640.0217,43520.8516,  985.8811,  400.8140,  827.9218,   76.8423,-185996.6400
"2050","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.2200, 8627.7700,  201.1450, 4517.7579,    0.0000,   94.5264,    0.0000,    9.8242,  492.0637,  757.2227,   49.0583,  160.7621,   51.2300,  624.2723,   54.7568,  156.2301,   72.3781,  162.9442,    7.7400,43172.8854,    0.0364,    0.0000,   76.2763,    0.0000,    0.0000,-9999.0000, 8828.9150, 4612.2843,43572.1779,  940.0795,  492.0637,  767.0832,   76.2763,-521556.5832
"2075","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.3750, 8627.7700,  197.0613, 4488.6375,    0.0000,   92.3144,    0.0000,    6.5672,  529.8595,  751.8956,   41.0008,  145.3044,   47.3143,  607.9543,   53.7356,  151.8766,   72.0364,  208.8793,    7.7400,43183.2908,    0.0859,    0.0000,   75.5561,    0.0000,    0.0000,-9999.0000, 8824.8313, 4580.9519,43623.8231,  895.3094,  529.8595,  758.5487,   75.5561,-853477.0466
"2100","","Time Ser. SLR","MEAN SLR RCP4.5","Protect Developed Dry",    0.5300, 8627.7700,  191.7662, 4456.1969,    0.0000,   87.1647,    0.0000,   11.5693,  566.3269,  746.6009,   34.2761,  128.7449,   43.3375,  591.6384,   52.3086,  146.4004,   71.6403,  255.8269,    7.7400,43194.7030,    0.1176,    0.0000,   74.7513,    0.0000,    0.0000,-9999.0000, 8819.5362, 4543.3615,43676.3106,  850.3056,  566.3269,  758.2879,   74.7513,-1181604.1233
