"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.0000, 4155.5000,  692.1600, 4925.7800,    0.0000,   96.7800,    0.0000,    0.0000,  168.6100,  948.9100,  108.1600,  325.0500,   99.9300,  923.0700,   92.7200,  159.1700,  116.2700,   96.2200,   10.9200,51992.4600,    0.0000,    0.0000,  102.0100,    0.0000,    0.0000,-9999.0000, 4847.6600, 5022.5600,52375.0400, 1548.9300,  168.6100,  948.9100,  102.0100,    0.0000
"2011","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.0000,  231.0093,  385.6420, 4880.8703,    0.0000,   96.6632,    0.0000, 3150.8959,  217.1400,  909.4618,  102.2956,  311.4958, 1167.3477,  876.3719,   89.0618,  159.0750,  112.0316,  163.7581,   10.9200,52048.3815,    2.6000,    0.0000,   98.6983,    0.0000,    0.0000,-9999.0000,  616.6513, 4977.5336,52494.1661, 2546.5728,  217.1400, 4062.9578,   98.6983,    0.0000
"2025","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.0897,  224.6051,  236.1871, 4935.0555,    0.0000,   96.5400,    0.0000, 2950.0770,  519.3278,  906.1408,   92.9715,  292.4400, 1125.5162,  862.8675,   88.3636,  158.5177,  111.6804,  206.6351,   10.9200,52097.5379,    0.0698,    0.0000,   98.2670,    0.0000,    0.0000,-9999.0000,  460.7922, 5031.5954,52585.2911, 2462.1588,  519.3278, 3856.2876,   98.2670,-165569.6206
"2050","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.2500,  215.0808,  225.7494, 4903.0762,    0.0000,   95.8618,    0.0000, 2890.0648,  627.4482,  899.9543,   79.0991,  264.2847, 1099.6933,  838.6392,   86.7954,  155.8774,  110.8733,  276.9282,   10.9200,52135.9162,    0.1007,    0.0000,   97.3570,    0.0000,    0.0000,-9999.0000,  440.8301, 4998.9380,52690.5152, 2368.5116,  627.4482, 3790.1198,   97.3570,-463639.6278
"2075","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.4900,  205.2030,  217.7423, 4857.7978,    0.0000,   91.3100,    0.0000, 2895.4031,  685.0844,  887.7045,   61.7449,  228.1144, 1074.5968,  812.8248,   82.0720,  148.6688,  109.0762,  370.4736,   10.9200,52178.7687,    0.3143,    0.0000,   95.9004,    0.0000,    0.0000,-9999.0000,  422.9453, 4949.1079,52817.9072, 2259.3529,  685.0844, 3783.4220,   95.9004,-757213.5827
"2100","","Time Ser. SLR","MEAN SLR RCP85","Protect None",    0.7300,  195.6411,  210.9102, 4808.3118,    0.0000,   84.7456,    0.0000, 2903.0321,  746.5773,  877.6240,   46.6663,  188.3133, 1050.2816,  786.4164,   73.0773,  143.0977,  105.0066,  465.0744,   10.9200,52223.9367,    1.0396,    0.0000,   93.0478,    0.0000,    0.0000,-9999.0000,  406.5513, 4893.0573,52948.0354, 2144.7550,  746.5773, 3781.6958,   93.0478,-1044404.9185
