"Date","Site Desc.","Scenario","Parameters","Protection","SLR (eustatic)","Developed Dry Land","Undeveloped Dry Land","Swamp","Cypress Swamp","Inland-Fresh Marsh","Tidal-Fresh Marsh","Trans. Salt Marsh","Regularly-Flooded Marsh","Mangrove","Estuarine Beach","Tidal Flat","Ocean Beach","Ocean Flat","Rocky Intertidal","Inland Open Water","Riverine Tidal","Estuarine Open Water","Tidal Creek","Open Ocean","Irreg.-Flooded Marsh","Inland Shore","Tidal Swamp","Flooded Developed Dry Land","Flooded Forest","SAV (sq.km)","Aggregated Non Tidal","Freshwater Non-Tidal","Open Water","Low Tidal","Saltmarsh","Transitional","Freshwater Tidal","GHG (10^3 Kg)"
"0","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.0000, 4155.5000,  692.1600, 4925.7800,    0.0000,   96.7800,    0.0000,    0.0000,  168.6100,  948.9100,  108.1600,  325.0500,   99.9300,  923.0700,   92.7200,  159.1700,  116.2700,   96.2200,   10.9200,51992.4600,    0.0000,    0.0000,  102.0100,    0.0000,    0.0000,-9999.0000, 4847.6600, 5022.5600,52375.0400, 1548.9300,  168.6100,  948.9100,  102.0100,    0.0000
"2011","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.0000, 4155.5000,  385.6420, 4880.8703,    0.0000,   96.6632,    0.0000,  264.4232,  217.1400,  909.4618,  102.2956,  311.4958,  129.3298,  876.3719,   89.0618,  159.0750,  112.0316,  163.7581,   10.9200,52048.3815,    2.6000,    0.0000,   98.6983,    0.0000,    0.0000,-9999.0000, 4541.1420, 4977.5336,52494.1661, 1508.5549,  217.1400, 1176.4851,   98.6983,    0.0000
"2025","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.0897, 4155.5000,  236.3156, 4934.9270,    0.0000,   96.5400,    0.0000,   84.1853,  494.4369,  906.1408,   92.9715,  292.4400,  111.2052,  862.8675,   88.3636,  158.5177,  111.6804,  206.6351,   10.9200,52071.7367,    0.0698,    0.0000,   98.2670,    0.0000,    0.0000,-9999.0000, 4391.8156, 5031.4670,52559.4898, 1447.8478,  494.4369,  990.3959,   98.2670,-202711.1497
"2050","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.2500, 4155.5000,  226.1669, 4902.6586,    0.0000,   95.8618,    0.0000,   20.2092,  600.1276,  899.9543,   79.0991,  264.2909,   99.5561,  838.9142,   86.7954,  155.8774,  110.8733,  276.6558,   10.9200,52092.8016,    0.1007,    0.0000,   97.3570,    0.0000,    0.0000,-9999.0000, 4381.6669, 4998.5204,52647.1282, 1368.6557,  600.1276,  920.2642,   97.3570,-567298.0353
"2075","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.4900, 4155.5000,  218.0236, 4857.5165,    0.0000,   91.3100,    0.0000,   21.3871,  654.5117,  887.7045,   61.7449,  228.1294,   90.1648,  813.4215,   82.0720,  148.6688,  109.0762,  369.8994,   10.9200,52117.4548,    0.3143,    0.0000,   95.9004,    0.0000,    0.0000,-9999.0000, 4373.5236, 4948.8265,52756.0192, 1275.5327,  654.5117,  909.4060,   95.9004,-927541.4128
"2100","","Time Ser. SLR","MEAN SLR RCP85","Protect Developed Dry",    0.7300, 4155.5000,  211.4421, 4807.7800,    0.0000,   84.7456,    0.0000,   25.3489,  712.4684,  877.6240,   46.6713,  188.3328,   81.6383,  787.3466,   73.0773,  143.0977,  105.0066,  464.2859,   10.9200,52144.3472,    1.0396,    0.0000,   93.0478,    0.0000,    0.0000,-9999.0000, 4366.9421, 4892.5255,52867.6573, 1177.0664,  712.4684,  904.0125,   93.0478,-1281614.4339
